Year,AlaskaHuman,NorthwestHuman,NorthernCaliforniaHuman,SouthernCaliforniaHuman,NorthernRockiesHuman,GreatBasinHuman,WesternGreatBasinHuman,SouthwestHuman,RockyMountainsHuman,EasternAreaHuman,SouthernAreaHuman,TotalHuman,AlaskaNature,NorthwestNature,NorthernCaliforniaNature,SouthernCaliforniaNature,NorthernRockiesNature,GreatBasinNature,WesternGreatBasinNature,SouthwestNature,RockyMountainsNature,EasternAreaNature,SouthernAreaNature,TotalNature
2022,313,"2,295","3,244","4,345","1,649","1,171",0,"1,379","1,584","8,485","36,964","61,429",282,"1,225",185,115,"1,061",949,0,754,808,107,"1,981","7,467"
2021,262,"3,075","3,621","5,083","2,981","1,362",0,"1,657","2,146","10,725","21,729","52,641",122,"1,000",341,241,"1,071","1,087",0,747,"1,170",130,435,"6,344"
2020,181,"3,107","4,248","5,295","2,779","2,154",0,"2,743","2,063","13,004","17,989","53,563",168,746,430,124,625,804,0,746,789,171,784,"5,387"
2019,349,"2,260","3,284","4,556","1,623","1,387",0,"1,895",948,"5,712","22,101","44,115",371,"1,430",420,76,686,921,0,786,736,38,898,"6,362"
2018,229,"2,787","3,428","4,322","2,137","1,631",0,"2,072","1,394","6,822","26,754","51,576",138,977,174,131,604,"1,145",0,"1,216","1,086",69,967,"6,507"
2017,209,"2,150","3,445","5,201","2,646","1,988",0,"2,172","2,150","9,757","33,828","63,546",155,"1,254",728,188,"1,254","1,139",0,922,"1,014",59,"1,240","7,953"
2016,343,"2,082","3,266","3,900","1,784","1,251",0,"2,084","2,048","11,163","33,011","60,932",229,437,97,96,916,812,0,"1,413","1,247",107,"1,436","6,790"
2015,351,"2,898","3,802","3,778","2,246",985,0,"1,327","1,909","11,553","30,067","58,916",417,"1,705",785,397,"1,571","1,111",0,986,650,86,"1,527","9,235"
2014,329,"2,155","3,605","3,527","1,646",782,247,"1,380","1,667","6,996","33,345","55,679",55,"2,417",477,259,"1,019",937,284,840,689,34,922,"7,933"
2013,391,"2,107","4,703","4,334","1,468",773,215,"1,519","1,455","7,056","14,328","38,349",212,"2,282",596,274,"1,305","1,441",542,"1,238","1,166",54,120,"9,230"
2012,275,"1,449","3,356","4,146","2,105","1,140",367,"1,410","3,592","10,942","29,549","58,331",141,856,180,266,"1,328","1,259",577,"1,224","1,992",205,"1,415","9,443"
2011,377,"1,342","2,791","4,633","1,109",712,383,"2,104","2,105","8,992","39,329","63,877",138,808,301,258,944,"1,168",432,"1,678","1,328",161,"3,033","10,249"
2010,359,"1,078","2,502","3,394","1,107",810,212,"1,600","1,962","15,675","36,108","64,807",330,"1,110",441,216,633,"1,036",273,947,941,169,"1,068","7,164"
2009,328,"1,624","3,677","4,412","1,344",726,209,"2,074","1,434","15,719","38,103","69,650",199,"1,843",890,179,"1,212","1,086",478,"1,546","1,090",62,557,"9,142"
2008,265,"1,365","3,407","5,208","1,971",826,224,"2,013","1,616","11,152","42,043","70,093",75,"1,624","1,400",174,679,835,224,"1,027",941,171,"1,706","8,856"
2007,247,"2,346","3,093","5,140","2,005","1,048",425,"1,730","1,876","12,453","43,083","73,446",201,"1,486",574,291,"1,363","1,434",463,"1,869","1,672",330,"2,578","12,261"
2006,254,"2,666","3,676","3,166","2,303",943,331,"2,511","2,968","14,227","47,175","80,220",54,"2,170",948,409,"1,970","2,259",943,"3,220","2,479",256,"1,457","16,165"
2005,296,"1,924","3,010","3,781","1,183",813,262,"3,287","1,940","13,014","28,920","58,430",311,901,186,272,748,"1,345",536,"1,935","1,398",175,516,"8,323"
2004,426,"1,901","3,613","3,845","1,883",526,173,"1,491",704,"11,781","27,758","54,101",270,"2,042",670,323,"1,090","1,760",781,"2,062","1,340",88,958,"11,384"
2003,379,"2,370","3,795","3,929","1,970",944,227,"1,657","4,214","14,851","16,479","50,815",72,"1,605",966,428,"1,921","2,004",569,"2,702","1,918",102,489,"12,776"
2002,378,"2,148","3,789","4,060","1,665",730,215,"2,668","2,118","12,857","31,394","62,022",165,"1,797",301,179,"1,130","1,602",556,"2,469","2,039",372,825,"11,435"
2001,320,"2,160","1,060","4,099","1,801","2,160",277,"2,096","4,135","18,743","34,605","70,066",29,159,"2,238",832,"1,041","2,405","1,697","2,298","2,114",889,392,"14,094"
