Year,Alaska,Northwest,Northern California,Southern California,Northern Rockies,Great Basin,Western Great Basin,Southwest,Rocky Mountains,Eastern Area,Southern Area,Total,,
2022,313,"2,295","3,244","4,345","1,649","1,171",0,"1,379","1,584","8,485","36,964","61,429",,
2021,262,"3,075","3,621","5,083","2,981","1,362",0,"1,657","2,146","10,725","21,729","52,641",,
2020,181,"3,107","4,248","5,295","2,779","2,154",0,"2,743","2,063","13,004","17,989","53,563",,
2019,349,"2,260","3,284","4,556","1,623","1,387",0,"1,895",948,"5,712","22,101","44,115",,
2018,229,"2,787","3,428","4,322","2,137","1,631",0,"2,072","1,394","6,822","26,754","51,576",,
2017,209,"2,150","3,445","5,201","2,646","1,988",0,"2,172","2,150","9,757","33,828","63,546",,
2016,343,"2,082","3,266","3,900","1,784","1,251",0,"2,084","2,048","11,163","33,011","60,932",,
2015,351,"2,898","3,802","3,778","2,246",985,0,"1,327","1,909","11,553","30,067","58,916",,
2014,329,"2,155","3,605","3,527","1,646",782,247,"1,380","1,667","6,996","33,345","55,679",,
2013,391,"2,107","4,703","4,334","1,468",773,215,"1,519","1,455","7,056","14,328","38,349",,
2012,275,"1,449","3,356","4,146","2,105","1,140",367,"1,410","3,592","10,942","29,549","58,331",,
2011,377,"1,342","2,791","4,633","1,109",712,383,"2,104","2,105","8,992","39,329","63,877",,
2010,359,"1,078","2,502","3,394","1,107",810,212,"1,600","1,962","15,675","36,108","64,807",,
2009,328,"1,624","3,677","4,412","1,344",726,209,"2,074","1,434","15,719","38,103","69,650",,
2008,265,"1,365","3,407","5,208","1,971",826,224,"2,013","1,616","11,152","42,043","70,093",,
2007,247,"2,346","3,093","5,140","2,005","1,048",425,"1,730","1,876","12,453","43,083","73,446",,
2006,254,"2,666","3,676","3,166","2,303",943,331,"2,511","2,968","14,227","47,175","80,220",,
2005,296,"1,924","3,010","3,781","1,183",813,262,"3,287","1,940","13,014","28,920","58,430",,
2004,426,"1,901","3,613","3,845","1,883",526,173,"1,491",704,"11,781","27,758","54,101",,
2003,379,"2,370","3,795","3,929","1,970",944,227,"1,657","4,214","14,851","16,479","50,815",,
2002,378,"2,148","3,789","4,060","1,665",730,215,"2,668","2,118","12,857","31,394","62,022",,
2001,320,"2,160","1,060","4,099","1,801","2,160",277,"2,096","4,135","18,743","34,605","70,066",,
