Year,Alaska,Northwest,NorthernCalifornia,SouthernCalifornia,NorthernRockies,GreatBasin,WesternGreatBasin,Southwest,RockyMountains,EasternArea,SouthernArea,Total
2022,11843,163580,190768,84673,56045,270330,0,918803,252596,60986,1360545,3370169
2021,9894,365742,1024538,82405,243603,72416,0,351928,263758,122382,487093,3023759
2020,284,1516910,1229991,927722,230928,431487,0,368729,791996,59858,440908,5998813
2019,44061,140321,190426,36146,31894,126584,0,202918,49743,38773,356188,1217324
2018,28946,609578,1404463,324102,48372,1030761,0,309546,504416,374,1329945,5640489
2017,6890,465864,343195,532640,135131,788769,0,207818,645162,41459,1663548,4830476
2016,10069,436106,93699,464718,84249,333318,0,219103,530831,97094,1497423,3766610
2015,26652,702206,308762,96990,77905,49066,0,19596,163871,100094,467319,2012461
2014,222909,147583,181965,74082,29088,43363,12145,74219,71823,53855,74082,1582770
2013,161767,115842,151677,380390,40184,30049,10459,99900,35258,64635,171819,1261980
2012,33840,127303,178818,80539,279369,483019,92671,106421,393477,119274,605518,2500249
2011,25236,30038,20051,80427,18219,64280,54016,1810445,300776,117521,2835762,5356771
2010,106759,70684,22701,67236,25574,183684,3173,69860,118702,128649,506337,1303449
2009,43887,29592,57997,296429,32651,16975,26046,210642,76842,118230,1163455,2072746
2008,1857,99706,91022,454249,105634,120391,17769,339201,117554,69396,2013212,3429991
2007,59007,244335,153154,855978,237835,288627,46057,90660,85442,230750,1157515,3449360
2006,147292,112098,146999,342864,126078,278288,46947,392892,209693,115171,2486522,4404844
2005,8184,219012,37658,61728,53616,187248,43811,267043,48356,85589,509082,1521327
2004,17789,58178,146720,84075,23585,13636,13864,63062,35346,101089,407456,964800
2003,22093,126381,96415,653016,137309,182916,5161,127332,87823,235391,248412,1922249
2002,427321,105544,39560,412447,65891,101986,29288,772299,661679,104900,356204,3077119
2001,206844,98677,101240,101240,29981,114996,57636,20229,75483,196226,761605,1748661
