Year,Alaska,Northwest,Northern California,Southern California,Northern Rockies,Great Basin*,Western Great Basin*,Southwest,Rocky Mountains,Eastern Area,Southern Area,Total
2022,282,"1,225",185,115,"1,061",949,0,754,808,107,"1,981","7,467"
2021,122,"1,000",341,241,"1,071","1,087",0,747,"1,170",130,435,"6,344"
2020,168,746,430,124,625,804,0,746,789,171,784,"5,387"
2019 ,371,"1,430",420,76,686,921,0,786,736,38,898,"6,362"
2018,138,977,174,131,604,"1,145",0,"1,216","1,086",69,967,"6,507"
2017,155,"1,254",728,188,"1,254","1,139",0,922,"1,014",59,"1,240","7,953"
2016,229,437,97,96,916,812,0,"1,413","1,247",107,"1,436","6,790"
2015,417,"1,705",785,397,"1,571","1,111",0,986,650,86,"1,527","9,235"
2014,55,"2,417",477,259,"1,019",937,284,840,689,34,922,"7,933"
2013,212,"2,282",596,274,"1,305","1,441",542,"1,238","1,166",54,120,"9,230"
2012,141,856,180,266,"1,328","1,259",577,"1,224","1,992",205,"1,415","9,443"
2011,138,808,301,258,944,"1,168",432,"1,678","1,328",161,"3,033","10,249"
2010,330,"1,110",441,216,633,"1,036",273,947,941,169,"1,068","7,164"
2009,199,"1,843",890,179,"1,212","1,086",478,"1,546","1,090",62,557,"9,142"
2008,75,"1,624","1,400",174,679,835,224,"1,027",941,171,"1,706","8,856"
2007,201,"1,486",574,291,"1,363","1,434",463,"1,869","1,672",330,"2,578","12,261"
2006,54,"2,170",948,409,"1,970","2,259",943,"3,220","2,479",256,"1,457","16,165"
2005,311,901,186,272,748,"1,345",536,"1,935","1,398",175,516,"8,323"
2004,270,"2,042",670,323,"1,090","1,760",781,"2,062","1,340",88,958,"11,384"
2003,72,"1,605",966,428,"1,921","2,004",569,"2,702","1,918",102,489,"12,776"
2002,165,"1,797",301,179,"1,130","1,602",556,"2,469","2,039",372,825,"11,435"
2001,29,159,"2,238",832,"1,041","2,405","1,697","2,298","2,114",889,392,"14,094"
