Year,Measure,Change in MSL Value
2012,Atlantic Ocean,35.204927536231885
2012,Gulf Mexico,60.03652173913044
2012,North Atlantic,35.368840579710145
2012,North Pacific,39.826231884057975
2012,Pacific Ocean,31.801739130434786
2013,Atlantic Ocean,37.45096153846154
2013,Gulf Mexico,36.02884615384615
2013,North Atlantic,16.85923076923077
2013,North Pacific,27.94884615384615
2013,Pacific Ocean,31.84807692307692
2014,Atlantic Ocean,38.522777777777776
2014,Gulf Mexico,49.38777777777778
2014,North Atlantic,28.412777777777777
2014,North Pacific,46.346111111111114
2014,Pacific Ocean,40.11
2015,Atlantic Ocean,46.64432432432432
2015,Gulf Mexico,77.79513513513514
2015,North Atlantic,40.48567567567568
2015,North Pacific,56.115405405405404
2015,Pacific Ocean,50.170810810810806
2016,Atlantic Ocean,50.505428571428574
2016,Gulf Mexico,93.36
2016,North Atlantic,48.28528571428571
2016,North Pacific,56.12657142857143
2016,Pacific Ocean,53.488
2017,Atlantic Ocean,56.10078431372549
2017,Gulf Mexico,69.19921568627451
2017,North Atlantic,43.46745098039216
2017,North Pacific,28.030392156862746
2017,Pacific Ocean,51.6078431372549
2018,Atlantic Ocean,63.28270270270271
2018,Gulf Mexico,73.43837837837837
2018,North Atlantic,62.13513513513514
2018,North Pacific,59.8354054054054
2018,Pacific Ocean,57.31243243243243
2019,Atlantic Ocean,71.55837837837838
2019,Gulf Mexico,101.99243243243242
2019,North Atlantic,66.72162162162162
2019,North Pacific,64.74891891891892
2019,Pacific Ocean,62.30162162162162
2020,Atlantic Ocean,70.03
2020,Gulf Mexico,104.685
2020,North Atlantic,69.19166666666666
2020,North Pacific,76.60222222222222
2020,Pacific Ocean,63.14111111111111
2021,Atlantic Ocean,76.96648648648649
2021,Gulf Mexico,92.71405405405406
2021,North Atlantic,73.66486486486487
2021,North Pacific,84.81648648648648
2021,Pacific Ocean,67.96378378378378
2022,Atlantic Ocean,71.02878787878787
2022,Gulf Mexico,112.6578125
2022,North Atlantic,74.7415625
2022,North Pacific,76.8734375
2022,Pacific Ocean,65.29848484848485
